ZT	CT	Phenylalanine	Campo	Organ	Temperature	Light
-1.5	-1.44	0.148109112	C1	L1	10	0
-1.5	-1.44		C1	L1	10	0
-1.5	-1.44	1.064493788	C1	L1	10	0
0.5	0.52173913	0.868225718	C1	L1	10	0.073333333
0.5	0.52173913		C1	L1	10	0.073333333
0.5	0.52173913	1.547022456	C1	L1	10	0.073333333
2.5	2.608695652	1.405203121	C1	L1	19	1.166666667
2.5	2.608695652	1.217240345	C1	L1	19	1.166666667
2.5	2.608695652		C1	L1	19	1.166666667
4.5	4.695652174	1.349971697	C1	L1	24	2.313333333
4.5	4.695652174	1.415215834	C1	L1	24	2.313333333
4.5	4.695652174	1.13649023	C1	L1	24	2.313333333
6.5	6.782608696	-0.325369467	C1	L1	26	2.786666667
6.5	6.782608696		C1	L1	26	2.786666667
6.5	6.782608696	-1.299852619	C1	L1	26	2.786666667
8.5	8.869565217	-0.971797937	C1	L1	27	2.206666667
8.5	8.869565217		C1	L1	27	2.206666667
8.5	8.869565217	-0.168632761	C1	L1	27	2.206666667
10.5	10.95652174	-0.689352059	C1	L1	26	0.866666667
10.5	10.95652174	-1.307344276	C1	L1	26	0.866666667
10.5	10.95652174	-0.818066326	C1	L1	26	0.866666667
12.5	12.96	-0.910501858	C1	L1	21	0
12.5	12.96	-1.117913621	C1	L1	21	0
12.5	12.96		C1	L1	21	0
14.5	14.88	-0.975778252	C1	L1	18	0
14.5	14.88	-1.318104933	C1	L1	18	0
14.5	14.88		C1	L1	18	0
16.5	16.8		C1	L1	14	0
16.5	16.8	-0.590366968	C1	L1	14	0
16.5	16.8		C1	L1	14	0
18.5	18.72	-0.540194152	C1	L1	14	0
18.5	18.72		C1	L1	14	0
18.5	18.72	-0.86455417	C1	L1	14	0
20.5	20.64	0.274472218	C1	L1	13	0
20.5	20.64	1.46926315	C1	L1	13	0
20.5	20.64	1.166106904	C1	L1	13	0
22.5	22.56	-0.609469526	C1	L1	12	0
22.5	22.56	0.234520979	C1	L1	12	0
22.5	22.56		C1	L1	12	0
24.5	24.52173913		C1	L1	12	0.073333333
24.5	24.52173913	-0.307677829	C1	L1	12	0.073333333
24.5	24.52173913	-0.481358796	C1	L1	12	0.073333333
-1.5	-1.953488372	-0.311591929	C2	L1	10	0
-1.5	-1.953488372		C2	L1	10	0
-1.5	-1.953488372	0.355468565	C2	L1	10	0
0.5	0.226415094		C2	L1	10	0.073333333
0.5	0.226415094	1.972754267	C2	L1	10	0.073333333
0.5	0.226415094	1.979049526	C2	L1	10	0.073333333
2.5	2.037735849	-0.515753832	C2	L1	19	1.166666667
2.5	2.037735849	0.004707553	C2	L1	19	1.166666667
2.5	2.037735849	0.222987573	C2	L1	19	1.166666667
4.5	3.849056604	1.611481841	C2	L1	24	2.313333333
4.5	3.849056604		C2	L1	24	2.313333333
4.5	3.849056604	1.767793667	C2	L1	24	2.313333333
6.5	5.660377358	1.415817455	C2	L1	26	2.786666667
6.5	5.660377358	-0.104060135	C2	L1	26	2.786666667
6.5	5.660377358	0.510505189	C2	L1	26	2.786666667
8.5	7.471698113	-0.100464603	C2	L1	27	2.206666667
8.5	7.471698113	0.185789591	C2	L1	27	2.206666667
8.5	7.471698113		C2	L1	27	2.206666667
10.5	9.283018868		C2	L1	26	0.866666667
10.5	9.283018868	-1.698159455	C2	L1	26	0.866666667
10.5	9.283018868	-0.075076158	C2	L1	26	0.866666667
12.5	11.09433962		C2	L1	21	0
12.5	11.09433962	-1.761669509	C2	L1	21	0
12.5	11.09433962	-2.036186857	C2	L1	21	0
14.5	13.11627907	-1.186114975	C2	L1	18	0
14.5	13.11627907	-0.334545552	C2	L1	18	0
14.5	13.11627907	-0.378456044	C2	L1	18	0
16.5	15.34883721	0.811684833	C2	L1	14	0
16.5	15.34883721	-0.225098006	C2	L1	14	0
16.5	15.34883721	0.76425658	C2	L1	14	0
18.5	17.58139535		C2	L1	14	0
18.5	17.58139535	-0.837265729	C2	L1	14	0
18.5	17.58139535	-0.984403374	C2	L1	14	0
20.5	19.81395349	-0.012937301	C2	L1	13	0
20.5	19.81395349	-0.877092262	C2	L1	13	0
20.5	19.81395349	-0.053609216	C2	L1	13	0
22.5	22.04651163	0.190771599	C2	L1	12	0
22.5	22.04651163		C2	L1	12	0
22.5	22.04651163	-0.03486711	C2	L1	12	0
24.5	24.22641509		C2	L1	12	0.073333333
24.5	24.22641509	-0.135297724	C2	L1	12	0.073333333
24.5	24.22641509	-0.130418468	C2	L1	12	0.073333333
