ZT	CT	Glycerate	Campo	Organ	Temperature	Light
-1.5	-1.44	-0.492612142	C1	L1	10	0
-1.5	-1.44	-0.702697839	C1	L1	10	0
-1.5	-1.44	-0.532420443	C1	L1	10	0
0.5	0.52173913	-0.177284009	C1	L1	10	0.073333333
0.5	0.52173913		C1	L1	10	0.073333333
0.5	0.52173913	-0.051404926	C1	L1	10	0.073333333
2.5	2.608695652	1.418381153	C1	L1	19	1.166666667
2.5	2.608695652	0.473900548	C1	L1	19	1.166666667
2.5	2.608695652	2.124827902	C1	L1	19	1.166666667
4.5	4.695652174	0.447137811	C1	L1	24	2.313333333
4.5	4.695652174	1.383313249	C1	L1	24	2.313333333
4.5	4.695652174	1.442048459	C1	L1	24	2.313333333
6.5	6.782608696		C1	L1	26	2.786666667
6.5	6.782608696	0.310123249	C1	L1	26	2.786666667
6.5	6.782608696	0.41072225	C1	L1	26	2.786666667
8.5	8.869565217	1.47158959	C1	L1	27	2.206666667
8.5	8.869565217	0.950391253	C1	L1	27	2.206666667
8.5	8.869565217	0.366196804	C1	L1	27	2.206666667
10.5	10.95652174	1.410046757	C1	L1	26	0.866666667
10.5	10.95652174	1.264780519	C1	L1	26	0.866666667
10.5	10.95652174	0.936549737	C1	L1	26	0.866666667
12.5	12.96	-0.401298446	C1	L1	21	0
12.5	12.96	-0.251334068	C1	L1	21	0
12.5	12.96		C1	L1	21	0
14.5	14.88	-0.71513256	C1	L1	18	0
14.5	14.88	-0.804473474	C1	L1	18	0
14.5	14.88	-0.989792888	C1	L1	18	0
16.5	16.8	-0.489341658	C1	L1	14	0
16.5	16.8	-1.003029487	C1	L1	14	0
16.5	16.8		C1	L1	14	0
18.5	18.72	-1.116272756	C1	L1	14	0
18.5	18.72	-0.726415966	C1	L1	14	0
18.5	18.72	-0.990009073	C1	L1	14	0
20.5	20.64	0.822352023	C1	L1	13	0
20.5	20.64	0.873687687	C1	L1	13	0
20.5	20.64	0.598676269	C1	L1	13	0
22.5	22.56	-1.346558535	C1	L1	12	0
22.5	22.56	-1.074528932	C1	L1	12	0
22.5	22.56	-1.232897179	C1	L1	12	0
24.5	24.52173913	-0.98658803	C1	L1	12	0.073333333
24.5	24.52173913	-1.226795093	C1	L1	12	0.073333333
24.5	24.52173913	-1.393837758	C1	L1	12	0.073333333
-1.5	-1.953488372	-1.152325624	C2	L1	10	0
-1.5	-1.953488372	-0.319768463	C2	L1	10	0
-1.5	-1.953488372	-0.912799627	C2	L1	10	0
0.5	0.226415094	-0.587605623	C2	L1	10	0.073333333
0.5	0.226415094	-0.861720903	C2	L1	10	0.073333333
0.5	0.226415094	-0.647153447	C2	L1	10	0.073333333
2.5	2.037735849	0.155195695	C2	L1	19	1.166666667
2.5	2.037735849	0.30944721	C2	L1	19	1.166666667
2.5	2.037735849	0.352713585	C2	L1	19	1.166666667
4.5	3.849056604	0.881709558	C2	L1	24	2.313333333
4.5	3.849056604	1.298782702	C2	L1	24	2.313333333
4.5	3.849056604	1.302433197	C2	L1	24	2.313333333
6.5	5.660377358	1.567056659	C2	L1	26	2.786666667
6.5	5.660377358	0.950909953	C2	L1	26	2.786666667
6.5	5.660377358	0.857021847	C2	L1	26	2.786666667
8.5	7.471698113	1.168452908	C2	L1	27	2.206666667
8.5	7.471698113	0.822099896	C2	L1	27	2.206666667
8.5	7.471698113	1.347542467	C2	L1	27	2.206666667
10.5	9.283018868	1.821538401	C2	L1	26	0.866666667
10.5	9.283018868	1.260074963	C2	L1	26	0.866666667
10.5	9.283018868	1.244220727	C2	L1	26	0.866666667
12.5	11.09433962	0.736401823	C2	L1	21	0
12.5	11.09433962	1.22986091	C2	L1	21	0
12.5	11.09433962	0.42863714	C2	L1	21	0
14.5	13.11627907	0.045352591	C2	L1	18	0
14.5	13.11627907	-0.064556349	C2	L1	18	0
14.5	13.11627907	-0.329327213	C2	L1	18	0
16.5	15.34883721	-0.223116548	C2	L1	14	0
16.5	15.34883721	-1.155039852	C2	L1	14	0
16.5	15.34883721	-0.763250732	C2	L1	14	0
18.5	17.58139535		C2	L1	14	0
18.5	17.58139535	-1.238992411	C2	L1	14	0
18.5	17.58139535	-0.770602269	C2	L1	14	0
20.5	19.81395349		C2	L1	13	0
20.5	19.81395349	-0.938143464	C2	L1	13	0
20.5	19.81395349	-1.014129045	C2	L1	13	0
22.5	22.04651163	-1.179537578	C2	L1	12	0
22.5	22.04651163	-1.134796646	C2	L1	12	0
22.5	22.04651163	-1.545237684	C2	L1	12	0
24.5	24.22641509	-0.730063864	C2	L1	12	0.073333333
24.5	24.22641509	-1.200581078	C2	L1	12	0.073333333
24.5	24.22641509	-1.010703812	C2	L1	12	0.073333333
