ZT	CT	Glycine	Campo	Organ	Temperature	Light
-1.5	-1.44	-0.941738803	C1	L1	10	0
-1.5	-1.44		C1	L1	10	0
-1.5	-1.44	-0.870733454	C1	L1	10	0
0.5	0.52173913	0.273276266	C1	L1	10	0.073333333
0.5	0.52173913	0.291003796	C1	L1	10	0.073333333
0.5	0.52173913	-0.122585656	C1	L1	10	0.073333333
2.5	2.608695652	0.237332374	C1	L1	19	1.166666667
2.5	2.608695652	2.019438656	C1	L1	19	1.166666667
2.5	2.608695652	2.328267379	C1	L1	19	1.166666667
4.5	4.695652174	1.889681884	C1	L1	24	2.313333333
4.5	4.695652174	2.136091926	C1	L1	24	2.313333333
4.5	4.695652174	0.425811523	C1	L1	24	2.313333333
6.5	6.782608696	-0.172690881	C1	L1	26	2.786666667
6.5	6.782608696		C1	L1	26	2.786666667
6.5	6.782608696	-0.600192127	C1	L1	26	2.786666667
8.5	8.869565217	-0.721661	C1	L1	27	2.206666667
8.5	8.869565217		C1	L1	27	2.206666667
8.5	8.869565217	0.668139787	C1	L1	27	2.206666667
10.5	10.95652174	0.300095344	C1	L1	26	0.866666667
10.5	10.95652174	-0.44952439	C1	L1	26	0.866666667
10.5	10.95652174	0.573486521	C1	L1	26	0.866666667
12.5	12.96		C1	L1	21	0
12.5	12.96	-1.004553912	C1	L1	21	0
12.5	12.96		C1	L1	21	0
14.5	14.88	-1.024119943	C1	L1	18	0
14.5	14.88	-0.73835639	C1	L1	18	0
14.5	14.88		C1	L1	18	0
16.5	16.8		C1	L1	14	0
16.5	16.8	-0.870893569	C1	L1	14	0
16.5	16.8		C1	L1	14	0
18.5	18.72	-0.847996161	C1	L1	14	0
18.5	18.72		C1	L1	14	0
18.5	18.72	-1.205037849	C1	L1	14	0
20.5	20.64	0.13421934	C1	L1	13	0
20.5	20.64	0.66055623	C1	L1	13	0
20.5	20.64	-0.123127842	C1	L1	13	0
22.5	22.56	-1.079292945	C1	L1	12	0
22.5	22.56	0.066341607	C1	L1	12	0
22.5	22.56		C1	L1	12	0
24.5	24.52173913		C1	L1	12	0.073333333
24.5	24.52173913	-0.16709374	C1	L1	12	0.073333333
24.5	24.52173913	-1.064143972	C1	L1	12	0.073333333
-1.5	-1.953488372	-0.332471822	C2	L1	10	0
-1.5	-1.953488372	-0.479464867	C2	L1	10	0
-1.5	-1.953488372	-0.901763453	C2	L1	10	0
0.5	0.226415094		C2	L1	10	0.073333333
0.5	0.226415094	-0.40310736	C2	L1	10	0.073333333
0.5	0.226415094	-0.159845247	C2	L1	10	0.073333333
2.5	2.037735849	1.166212726	C2	L1	19	1.166666667
2.5	2.037735849	1.161983712	C2	L1	19	1.166666667
2.5	2.037735849		C2	L1	19	1.166666667
4.5	3.849056604	0.589910888	C2	L1	24	2.313333333
4.5	3.849056604		C2	L1	24	2.313333333
4.5	3.849056604	-1.439739637	C2	L1	24	2.313333333
6.5	5.660377358		C2	L1	26	2.786666667
6.5	5.660377358	0.768676421	C2	L1	26	2.786666667
6.5	5.660377358	0.482023599	C2	L1	26	2.786666667
8.5	7.471698113	1.089202641	C2	L1	27	2.206666667
8.5	7.471698113	1.140017753	C2	L1	27	2.206666667
8.5	7.471698113	0.808921306	C2	L1	27	2.206666667
10.5	9.283018868		C2	L1	26	0.866666667
10.5	9.283018868	1.233612178	C2	L1	26	0.866666667
10.5	9.283018868	0.627399486	C2	L1	26	0.866666667
12.5	11.09433962	1.536833593	C2	L1	21	0
12.5	11.09433962	1.042666278	C2	L1	21	0
12.5	11.09433962	0.574750985	C2	L1	21	0
14.5	13.11627907	0.302527906	C2	L1	18	0
14.5	13.11627907	0.154260909	C2	L1	18	0
14.5	13.11627907	-0.417701522	C2	L1	18	0
16.5	15.34883721	0.237266013	C2	L1	14	0
16.5	15.34883721	0.751562804	C2	L1	14	0
16.5	15.34883721	0.488596887	C2	L1	14	0
18.5	17.58139535		C2	L1	14	0
18.5	17.58139535	-0.126550314	C2	L1	14	0
18.5	17.58139535	-0.328952276	C2	L1	14	0
20.5	19.81395349	0.001490098	C2	L1	13	0
20.5	19.81395349	-1.953106494	C2	L1	13	0
20.5	19.81395349	0.031086944	C2	L1	13	0
22.5	22.04651163	-0.857656046	C2	L1	12	0
22.5	22.04651163	-1.196634914	C2	L1	12	0
22.5	22.04651163	-1.520986494	C2	L1	12	0
24.5	24.22641509		C2	L1	12	0.073333333
24.5	24.22641509	-2.112652154	C2	L1	12	0.073333333
24.5	24.22641509	-1.958370526	C2	L1	12	0.073333333
