ZT	CT	Isoleucine	Campo	Organ	Temperature	Light
-1.5	-1.44	-0.345264353	C1	L1	10	0
-1.5	-1.44		C1	L1	10	0
-1.5	-1.44	-0.543504037	C1	L1	10	0
0.5	0.52173913	0.998491861	C1	L1	10	0.073333333
0.5	0.52173913	1.190988034	C1	L1	10	0.073333333
0.5	0.52173913	1.007444749	C1	L1	10	0.073333333
2.5	2.608695652	-0.041480739	C1	L1	19	1.166666667
2.5	2.608695652	0.874322745	C1	L1	19	1.166666667
2.5	2.608695652		C1	L1	19	1.166666667
4.5	4.695652174	2.611327687	C1	L1	24	2.313333333
4.5	4.695652174	2.422059344	C1	L1	24	2.313333333
4.5	4.695652174	0.557343103	C1	L1	24	2.313333333
6.5	6.782608696	0.172826332	C1	L1	26	2.786666667
6.5	6.782608696		C1	L1	26	2.786666667
6.5	6.782608696	-1.080601899	C1	L1	26	2.786666667
8.5	8.869565217	0.308474235	C1	L1	27	2.206666667
8.5	8.869565217		C1	L1	27	2.206666667
8.5	8.869565217	-0.271220851	C1	L1	27	2.206666667
10.5	10.95652174	0.056866962	C1	L1	26	0.866666667
10.5	10.95652174	-1.007920119	C1	L1	26	0.866666667
10.5	10.95652174	0.480591314	C1	L1	26	0.866666667
12.5	12.96		C1	L1	21	0
12.5	12.96	-0.931427715	C1	L1	21	0
12.5	12.96		C1	L1	21	0
14.5	14.88	-1.053239017	C1	L1	18	0
14.5	14.88	-0.477372799	C1	L1	18	0
14.5	14.88		C1	L1	18	0
16.5	16.8		C1	L1	14	0
16.5	16.8	-0.811369296	C1	L1	14	0
16.5	16.8		C1	L1	14	0
18.5	18.72	-0.657886445	C1	L1	14	0
18.5	18.72		C1	L1	14	0
18.5	18.72	-0.966292656	C1	L1	14	0
20.5	20.64	0.581500623	C1	L1	13	0
20.5	20.64	0.503249297	C1	L1	13	0
20.5	20.64	0.215604521	C1	L1	13	0
22.5	22.56	-1.235506294	C1	L1	12	0
22.5	22.56	-0.490384921	C1	L1	12	0
22.5	22.56		C1	L1	12	0
24.5	24.52173913		C1	L1	12	0.073333333
24.5	24.52173913	-0.986654388	C1	L1	12	0.073333333
24.5	24.52173913	-1.080965276	C1	L1	12	0.073333333
-1.5	-1.953488372	-0.8170934	C2	L1	10	0
-1.5	-1.953488372		C2	L1	10	0
-1.5	-1.953488372	-0.977732084	C2	L1	10	0
0.5	0.226415094		C2	L1	10	0.073333333
0.5	0.226415094	0.568163416	C2	L1	10	0.073333333
0.5	0.226415094	0.396216296	C2	L1	10	0.073333333
2.5	2.037735849	-1.797149578	C2	L1	19	1.166666667
2.5	2.037735849	-1.112156325	C2	L1	19	1.166666667
2.5	2.037735849		C2	L1	19	1.166666667
4.5	3.849056604	1.31575413	C2	L1	24	2.313333333
4.5	3.849056604	1.853803178	C2	L1	24	2.313333333
4.5	3.849056604	1.523107587	C2	L1	24	2.313333333
6.5	5.660377358		C2	L1	26	2.786666667
6.5	5.660377358	0.244644488	C2	L1	26	2.786666667
6.5	5.660377358	0.865923435	C2	L1	26	2.786666667
8.5	7.471698113	1.376203404	C2	L1	27	2.206666667
8.5	7.471698113		C2	L1	27	2.206666667
8.5	7.471698113	1.347591183	C2	L1	27	2.206666667
10.5	9.283018868		C2	L1	26	0.866666667
10.5	9.283018868	-0.122195842	C2	L1	26	0.866666667
10.5	9.283018868	1.469223311	C2	L1	26	0.866666667
12.5	11.09433962	-0.110898209	C2	L1	21	0
12.5	11.09433962	-0.351267093	C2	L1	21	0
12.5	11.09433962	-0.635541527	C2	L1	21	0
14.5	13.11627907	-0.115580615	C2	L1	18	0
14.5	13.11627907	0.214536963	C2	L1	18	0
14.5	13.11627907	-0.016095059	C2	L1	18	0
16.5	15.34883721	1.162549651	C2	L1	14	0
16.5	15.34883721	0.806428513	C2	L1	14	0
16.5	15.34883721	0.45397806	C2	L1	14	0
18.5	17.58139535		C2	L1	14	0
18.5	17.58139535	-0.41046224	C2	L1	14	0
18.5	17.58139535	-1.061533216	C2	L1	14	0
20.5	19.81395349	-0.319574691	C2	L1	13	0
20.5	19.81395349	-1.602117364	C2	L1	13	0
20.5	19.81395349	-0.09104574	C2	L1	13	0
22.5	22.04651163	-0.562599109	C2	L1	12	0
22.5	22.04651163	-0.950251163	C2	L1	12	0
22.5	22.04651163		C2	L1	12	0
24.5	24.22641509		C2	L1	12	0.073333333
24.5	24.22641509	-1.19542132	C2	L1	12	0.073333333
24.5	24.22641509	-1.34940904	C2	L1	12	0.073333333
