ZT	CT	Leucine	Campo	Organ	Temperature	Light
-1.5	-1.44	-0.532542662	C1	L1	10	0
-1.5	-1.44	0.23555677	C1	L1	10	0
-1.5	-1.44	-0.378347958	C1	L1	10	0
0.5	0.52173913	1.362121305	C1	L1	10	0.073333333
0.5	0.52173913	1.496709327	C1	L1	10	0.073333333
0.5	0.52173913	1.225298464	C1	L1	10	0.073333333
2.5	2.608695652	0.309689973	C1	L1	19	1.166666667
2.5	2.608695652	0.51067735	C1	L1	19	1.166666667
2.5	2.608695652		C1	L1	19	1.166666667
4.5	4.695652174	2.469798089	C1	L1	24	2.313333333
4.5	4.695652174	2.400639703	C1	L1	24	2.313333333
4.5	4.695652174	0.341223041	C1	L1	24	2.313333333
6.5	6.782608696	0.186351607	C1	L1	26	2.786666667
6.5	6.782608696		C1	L1	26	2.786666667
6.5	6.782608696	-0.836476162	C1	L1	26	2.786666667
8.5	8.869565217	0.154241955	C1	L1	27	2.206666667
8.5	8.869565217		C1	L1	27	2.206666667
8.5	8.869565217	-0.358472708	C1	L1	27	2.206666667
10.5	10.95652174	0.230994597	C1	L1	26	0.866666667
10.5	10.95652174	-1.018974362	C1	L1	26	0.866666667
10.5	10.95652174	-0.035771013	C1	L1	26	0.866666667
12.5	12.96		C1	L1	21	0
12.5	12.96	-0.908175583	C1	L1	21	0
12.5	12.96		C1	L1	21	0
14.5	14.88	-1.003610597	C1	L1	18	0
14.5	14.88	-0.807174335	C1	L1	18	0
14.5	14.88		C1	L1	18	0
16.5	16.8		C1	L1	14	0
16.5	16.8	-0.911441933	C1	L1	14	0
16.5	16.8		C1	L1	14	0
18.5	18.72	-1.033695222	C1	L1	14	0
18.5	18.72	-0.49844794	C1	L1	14	0
18.5	18.72	-0.965810556	C1	L1	14	0
20.5	20.64	0.958356655	C1	L1	13	0
20.5	20.64	0.719921175	C1	L1	13	0
20.5	20.64	0.90195288	C1	L1	13	0
22.5	22.56	-1.151198215	C1	L1	12	0
22.5	22.56	-0.722259285	C1	L1	12	0
22.5	22.56		C1	L1	12	0
24.5	24.52173913	-0.50156365	C1	L1	12	0.073333333
24.5	24.52173913	-0.932900516	C1	L1	12	0.073333333
24.5	24.52173913	-0.906670193	C1	L1	12	0.073333333
-1.5	-1.953488372	-0.994759212	C2	L1	10	0
-1.5	-1.953488372		C2	L1	10	0
-1.5	-1.953488372	-0.614748523	C2	L1	10	0
0.5	0.226415094		C2	L1	10	0.073333333
0.5	0.226415094	0.376631503	C2	L1	10	0.073333333
0.5	0.226415094	0.018687544	C2	L1	10	0.073333333
2.5	2.037735849	-1.269831661	C2	L1	19	1.166666667
2.5	2.037735849	-0.304617443	C2	L1	19	1.166666667
2.5	2.037735849	0.149309515	C2	L1	19	1.166666667
4.5	3.849056604	1.85650284	C2	L1	24	2.313333333
4.5	3.849056604	1.864653514	C2	L1	24	2.313333333
4.5	3.849056604	1.611220954	C2	L1	24	2.313333333
6.5	5.660377358	2.020711737	C2	L1	26	2.786666667
6.5	5.660377358	0.502521217	C2	L1	26	2.786666667
6.5	5.660377358	1.072614061	C2	L1	26	2.786666667
8.5	7.471698113	0.95513304	C2	L1	27	2.206666667
8.5	7.471698113	1.047042708	C2	L1	27	2.206666667
8.5	7.471698113	0.909891983	C2	L1	27	2.206666667
10.5	9.283018868		C2	L1	26	0.866666667
10.5	9.283018868	-0.378322068	C2	L1	26	0.866666667
10.5	9.283018868	0.367970398	C2	L1	26	0.866666667
12.5	11.09433962	0.032059034	C2	L1	21	0
12.5	11.09433962	-0.370078767	C2	L1	21	0
12.5	11.09433962	-0.863733917	C2	L1	21	0
14.5	13.11627907	0.382543086	C2	L1	18	0
14.5	13.11627907	0.624793052	C2	L1	18	0
14.5	13.11627907	0.188630623	C2	L1	18	0
16.5	15.34883721	0.619467436	C2	L1	14	0
16.5	15.34883721	0.324838956	C2	L1	14	0
16.5	15.34883721	0.347399507	C2	L1	14	0
18.5	17.58139535		C2	L1	14	0
18.5	17.58139535	-0.754314009	C2	L1	14	0
18.5	17.58139535	-0.861614446	C2	L1	14	0
20.5	19.81395349	-0.758613578	C2	L1	13	0
20.5	19.81395349	-1.75230887	C2	L1	13	0
20.5	19.81395349	-0.430918559	C2	L1	13	0
22.5	22.04651163	-1.063628537	C2	L1	12	0
22.5	22.04651163	-1.347833404	C2	L1	12	0
22.5	22.04651163	-0.680247382	C2	L1	12	0
24.5	24.22641509		C2	L1	12	0.073333333
24.5	24.22641509	-1.526862344	C2	L1	12	0.073333333
24.5	24.22641509	-1.300189989	C2	L1	12	0.073333333
