ZT	CT	Malate	Campo	Organ	Temperature	Light
-1.5	-1.44	-0.367054842	C1	L1	10	0
-1.5	-1.44	-1.114691913	C1	L1	10	0
-1.5	-1.44	0.254191869	C1	L1	10	0
0.5	0.52173913	-0.476778121	C1	L1	10	0.073333333
0.5	0.52173913	-1.238740425	C1	L1	10	0.073333333
0.5	0.52173913	-2.007428503	C1	L1	10	0.073333333
2.5	2.608695652	0.011224597	C1	L1	19	1.166666667
2.5	2.608695652	-0.126697945	C1	L1	19	1.166666667
2.5	2.608695652	2.517554836	C1	L1	19	1.166666667
4.5	4.695652174	0.088767372	C1	L1	24	2.313333333
4.5	4.695652174	1.554443805	C1	L1	24	2.313333333
4.5	4.695652174	0.855204264	C1	L1	24	2.313333333
6.5	6.782608696	-0.247171959	C1	L1	26	2.786666667
6.5	6.782608696	0.144238125	C1	L1	26	2.786666667
6.5	6.782608696	0.289230286	C1	L1	26	2.786666667
8.5	8.869565217	1.207472162	C1	L1	27	2.206666667
8.5	8.869565217	0.608271661	C1	L1	27	2.206666667
8.5	8.869565217	-0.98374762	C1	L1	27	2.206666667
10.5	10.95652174	1.972529395	C1	L1	26	0.866666667
10.5	10.95652174	0.155689034	C1	L1	26	0.866666667
10.5	10.95652174	0.065096396	C1	L1	26	0.866666667
12.5	12.96	0.887897749	C1	L1	21	0
12.5	12.96	-0.154972369	C1	L1	21	0
12.5	12.96		C1	L1	21	0
14.5	14.88	0.010554696	C1	L1	18	0
14.5	14.88	1.506089285	C1	L1	18	0
14.5	14.88	-1.415000342	C1	L1	18	0
16.5	16.8	1.528617102	C1	L1	14	0
16.5	16.8	-0.089141662	C1	L1	14	0
16.5	16.8		C1	L1	14	0
18.5	18.72	0.189757898	C1	L1	14	0
18.5	18.72	-0.065856159	C1	L1	14	0
18.5	18.72	-0.391406718	C1	L1	14	0
20.5	20.64	0.864477189	C1	L1	13	0
20.5	20.64	-0.239843069	C1	L1	13	0
20.5	20.64	0.120074057	C1	L1	13	0
22.5	22.56	-1.374259154	C1	L1	12	0
22.5	22.56	-1.096393752	C1	L1	12	0
22.5	22.56	-1.079275149	C1	L1	12	0
24.5	24.52173913	-0.144595445	C1	L1	12	0.073333333
24.5	24.52173913	-0.793918821	C1	L1	12	0.073333333
24.5	24.52173913	-1.424407811	C1	L1	12	0.073333333
-1.5	-1.953488372	-1.048838773	C2	L1	10	0
-1.5	-1.953488372	-0.105561175	C2	L1	10	0
-1.5	-1.953488372	0.510884061	C2	L1	10	0
0.5	0.226415094	-1.316048276	C2	L1	10	0.073333333
0.5	0.226415094	-0.888305136	C2	L1	10	0.073333333
0.5	0.226415094	0.40189739	C2	L1	10	0.073333333
2.5	2.037735849	0.721509285	C2	L1	19	1.166666667
2.5	2.037735849	0.11082675	C2	L1	19	1.166666667
2.5	2.037735849	-0.259243074	C2	L1	19	1.166666667
4.5	3.849056604	1.061846588	C2	L1	24	2.313333333
4.5	3.849056604	1.267911713	C2	L1	24	2.313333333
4.5	3.849056604	1.351347666	C2	L1	24	2.313333333
6.5	5.660377358	-0.348363606	C2	L1	26	2.786666667
6.5	5.660377358	0.165759051	C2	L1	26	2.786666667
6.5	5.660377358	1.099056309	C2	L1	26	2.786666667
8.5	7.471698113	1.050445217	C2	L1	27	2.206666667
8.5	7.471698113	0.294331302	C2	L1	27	2.206666667
8.5	7.471698113	1.544543412	C2	L1	27	2.206666667
10.5	9.283018868	1.996457768	C2	L1	26	0.866666667
10.5	9.283018868	0.487222272	C2	L1	26	0.866666667
10.5	9.283018868	0.967955889	C2	L1	26	0.866666667
12.5	11.09433962	0.007480657	C2	L1	21	0
12.5	11.09433962	0.644865018	C2	L1	21	0
12.5	11.09433962	0.351920434	C2	L1	21	0
14.5	13.11627907	0.390453197	C2	L1	18	0
14.5	13.11627907	-0.432773685	C2	L1	18	0
14.5	13.11627907	1.707944369	C2	L1	18	0
16.5	15.34883721	-0.898963748	C2	L1	14	0
16.5	15.34883721	-2.062398374	C2	L1	14	0
16.5	15.34883721	-2.057037933	C2	L1	14	0
18.5	17.58139535	-0.938708176	C2	L1	14	0
18.5	17.58139535	-0.919004485	C2	L1	14	0
18.5	17.58139535		C2	L1	14	0
20.5	19.81395349		C2	L1	13	0
20.5	19.81395349	-0.598315171	C2	L1	13	0
20.5	19.81395349	-1.067793475	C2	L1	13	0
22.5	22.04651163	-1.426757724	C2	L1	12	0
22.5	22.04651163	-0.033304262	C2	L1	12	0
22.5	22.04651163	-1.014494969	C2	L1	12	0
24.5	24.22641509	-0.39136423	C2	L1	12	0.073333333
24.5	24.22641509	-0.39288387	C2	L1	12	0.073333333
24.5	24.22641509	0.065501795	C2	L1	12	0.073333333
