probe_name	C1_ZTa1_1	C1_ZTa1_2	C1_ZT00_1	C1_ZT00_2	C1_ZT02_1	C1_ZT02_2	C1_ZT04_1	C1_ZT04_2	C1_ZT07_1	C1_ZT07_2	C1_ZT09_1	C1_ZT09_2	C1_ZT11_1	C1_ZT11_2	C1_ZT13_1	C1_ZT13_2	C1_ZT15_1	C1_ZT15_2	C1_ZT17_1	C1_ZT17_2	C1_ZT20_1	C2_ZTa_1	C2_ZTa_2	C2_ZT00_1	C2_ZT00_2	C2_ZT02_1	C2_ZT02_2	C2_ZT04_1	C2_ZT04_2	C2_ZT07_1	C2_ZT07_2	C2_ZT09_1	C2_ZT09_2	C2_ZT11_1	C2_ZT11_2	C2_ZT13_1	C2_ZT13_2	C2_ZT15_1	C2_ZT15_2	C2_ZT17_1	C2_ZT17_2	C2_ZT20_1	C2_ZT20_2	C2_ZT22_1	C2_ZT22_2	C2_ZT24_1	C2_ZT24_2
GS1_SS_00003_16888	0.344680343	1.531146746	0.000839149	-0.700029863	-0.91332349	0.972033931	-0.952553693	-0.869807634	-1.184967923	-1.33496576	-0.613987148	-0.355199672	-0.927499109	0.599841498	1.300380844	0.07896989	0.319296094	0.449843661	-0.480142925	2.696184887	0.329515727	0.247197834	0.176997301	1.213912819	-0.516611955	1.64537789	-0.297381053	1.855279817	0.579542551	-1.652414602	0.430278959	-1.556792613	-0.018444715	-0.710188176	-0.472299326	-0.728846125	0.276350879	0.00170587	-0.34635817	0.148543929	-0.658878816	-1.496154279	1.612726479	1.90892142	0.236003065	0.448936908	-0.118731191
GS1_SS_00016_00323	-0.399816264	0.340258925	0.574738193	0.784792537	-0.440253082	0.233874813	-1.695422773	-1.613192197	-1.572212603	-0.980858061	-0.774060373	-0.805541386	-0.684502319	0.099266344	0.207007396	1.183461569	0.223290679	1.654591209	0.141602878	1.096617396	1.710768534	0.911345063	1.177143224	0.242696563	0.577020813	0.635164161	0.473193406	-0.776888571	-0.552621372	-1.487068033	-1.393623367	-0.830878822	-0.612841268	-0.084359768	0.685001316	-0.673061164	0.807517656	-0.290976307	0.782599078	0.238543467	0.761833597	-0.7997306	1.291353371	0.579097361	1.085775106	0.892656129	0.539642946
GS1_SS_00019_02015	0.905527775	0.87413554	0.770585798	1.849972838	2.193055748	-0.08057523	-0.93248015	-1.944470591	-1.098070471	-1.091970558	-0.265060403	-1.944470591	-0.962087045	-0.473350115	-0.855412957	-0.864934772	0.126821811	-1.944470591	-0.775816532	-0.144996263	-0.152137624	1.350587608	0.430856153	1.197621745	0.579949462	0.93816066	1.375759205	0.674827023	0.229483371	-0.048759598	-0.899365973	-0.378507528	-1.247895787	-0.428850723	-2.049514361	-0.554708712	-2.148264475	-0.454022321	-1.505420595	0.132669534	-0.037916448	1.80754892	0.146223471	-0.18429897	0.603184783	1.033038221	0.299189334
GS1_SS_00027_18006	0.81248664	-0.142528823	1.296090215	-0.242094265	1.223956069	-1.483275709	-1.018975638	-1.47819584	-0.780221772	-1.136489952	0.249637101	-0.189940938	-0.223806735	-0.187231674	-0.077167836	-0.519116481	1.931412559	-0.545531802	2.206064169	-0.313551096	0.06845509	0.85470489	0.097449171	0.328081204	0.355140919	-0.508688447	-0.048173727	-1.453696959	-1.355865681	-0.487873282	-2.040684625	-0.383797455	-0.21207234	0.325999687	0.009401021	1.073264127	0.286450873	0.719406314	1.181502988	0.473787362	0.378037601	3.119394891	0.321836654	-0.235177173	0.238575992	-0.435835368	0.01689448
GS1_SS_00031_10674	0.37034264	1.406208771	-0.431838651	0.493334661	-0.256916666	1.593429958	-1.433540331	1.170701827	-2.076287521	0.217285903	-1.556987878	-0.930639624	-1.278205964	-0.643202716	0.332989508	-0.125725177	0.137113327	0.410884455	-0.042819444	1.053631645	0.93337278	-0.140472184	1.468655046	-0.885350897	0.483645467	-0.718400121	1.616128232	0.311129665	0.149743915	-1.926010735	-1.611586773	-1.672802058	0.085746117	-0.991086389	1.079103235	0.555990803	1.279444167	0.583815933	0.875979791	0.928847537	0.241566842	-0.439035822	1.076320722	-0.295875532	-0.003294297	-0.133515902	0.681203886
GS1_SS_00033_11874	-1.2152715	-2.405216111	-0.7163009	-2.405216111	-1.560957061	-2.405216111	-1.136841979	-0.620199917	-0.013810656	0.115647694	1.25158514	0.585033487	1.741620732	1.419761861	1.446169776	0.585033487	0.226044691	-0.093630067	-0.478828222	-0.877329613	-0.657726953	0.034126851	-0.500150331	-0.706207647	-0.952091166	-0.936507	-0.725254962	-0.113662996	-2.43431858	0.793335507	0.275594857	1.7491644	1.421896899	2.188984217	1.511938751	1.047876897	0.512820506	0.329273654	0.084948551	0.396805043	-0.207514312	0.10434218	-0.061888931	0.0413302	-0.782396906	-1.10620126	-0.791054777
GS1_SS_00034_11858	-0.198822743	-0.081377454	0.396401767	0.325682023	0.61445431	1.125278173	2.546408262	0.140884598	1.71145224	-0.097794537	0.972893964	-0.15336005	-0.102424997	-1.396848878	0.340836254	-1.233730421	-0.907072557	-0.505274966	-0.132943934	-0.863083193	-1.071032916	-0.18615093	-0.901096796	0.305793412	1.184886279	1.075620499	0.052495467	1.301601999	1.333885071	-0.556661257	-0.29715503	-0.163801111	-0.742164752	-0.247985428	-1.492125334	0.243710582	-1.742939966	0.005312516	-1.164327994	0.211427511	-1.072445406	2.987771652	-0.616012443	-0.143686275	0.030145648	0.536741538	-0.241528814
GS1_SS_00037_14514	1.013515275	0.076134466	1.316558933	0.282871877	1.740820055	0.29417181	2.217728593	1.204330053	0.625208485	-0.168611811	-0.783174078	-1.139121968	-1.331477646	-1.224128283	-0.534318734	-0.891550708	-0.172977694	-0.801664877	-0.56539355	-0.761601478	-0.607768299	-0.065097141	0.778088592	-0.167149383	0.833297181	0.323035974	1.393748016	0.61681259	1.211392371	-0.638931876	-0.757713993	-1.403487193	-2.541118738	-1.855193836	-2.239980976	-0.116959756	-0.210647059	-0.135362619	-0.145400544	0.323035974	-0.013234527	0.572311121	0.488494444	0.244405558	0.328054937	1.025690751	0.219310745
GS1_SS_00039_13324	-1.27512088	-2.331174746	-1.842519574	-2.331174746	-0.971685046	0.976660452	-0.3133973	-0.303073599	-0.810959194	-0.198824463	-0.387282609	1.011275213	0.049956484	1.53980821	0.615533349	1.271594414	-0.39537963	1.887777655	-0.868852889	0.304607771	-0.290118366	-0.737939547	-0.89757277	-0.917694605	-1.346960415	-0.813061064	-1.306716745	-0.507209174	-0.536721199	0.529736047	1.563998358	0.866441417	1.36278001	1.872533159	1.872533159	0.776563888	1.275585392	0.623637943	0.771198065	0.242530392	0.415712317	-1.333545858	-0.448185125	-0.053797163	-0.399892722	-0.90696296	-0.792939229
GS1_SS_00040_10111	-1.180207349	0.034912573	-1.636019406	0.365120559	-0.980718531	0.577965466	-0.885236704	0.341250102	-1.255228785	0.339829242	-0.681769476	-0.273129989	0.837982942	1.159949937	-0.723826948	0.65270273	-0.331953615	1.905901713	-3.096664026	1.980354805	0.457760665	-0.638331405	-0.003196334	-0.92754673	-0.182418744	-1.187157337	-0.017998693	0.151431387	1.443108019	0.304465008	1.062801253	-0.159418155	1.541031318	0.315851438	1.509149314	-0.094287774	1.454494449	-1.203098339	1.397562299	-0.285352072	0.841904509	-2.323523062	-0.150992196	-1.330626356	-0.362779797	-0.474366812	-1.216762055
