	C1_ZT00_1	C1_ZT00_2	C1_ZT02_1	C1_ZT02_2	C1_ZT04_1	C1_ZT04_2	C1_ZT06_1	C1_ZT06_2	C1_ZT08_1	C1_ZT08_2	C1_ZT10_1	C1_ZT10_2	C1_ZT12_1	C1_ZT12_2	C1_ZT14_1	C1_ZT14_2	C1_ZT16_1	C1_ZT16_2	C1_ZT18_1	C1_ZT18_2	C1_ZT20_1	C1_ZT22_1	C2_ZT00_1	C2_ZT00_2	C2_ZT02_1	C2_ZT02_2	C2_ZT04_1	C2_ZT04_2	C2_ZT06_1	C2_ZT06_2	C2_ZT08_1	C2_ZT08_2	C2_ZT10_1	C2_ZT10_2	C2_ZT12_1	C2_ZT12_2	C2_ZT14_1	C2_ZT14_2	C2_ZT16_1	C2_ZT16_2	C2_ZT18_1	C2_ZT18_2	C2_ZT20_1	C2_ZT20_2	C2_ZT22_1	C2_ZT22_2	C2_ZT24_1	C2_ZT24_2	C2_ZT26_1	C2_ZT26_2
GS1_SS_00003_16888	1.0369	1.3968	0.9326	0.72	0.6553	1.2272	0.6434	0.6685	0.5729	0.5274	0.7461	0.8246	0.651	1.1143	1.3268	0.9563	1.0292	1.0688	0.7867	1.7502	0.8443	1.0323	0.0955	0.0654	0.51	-0.232	0.695	-0.138	0.785	0.238	-0.601	-0.367	-0.719	0.174	-0.678	-0.0184	-0.315	-0.213	-0.323	0.108	-0.00976	-0.159	0.0532	-0.293	-0.652	0.681	0.808	0.0907	0.182	-0.0614
GS1_SS_00016_00323	0.7808	1.0535	1.1399	1.2173	0.7659	1.0143	0.3034	0.3337	0.3488	0.5667	0.6429	0.6313	0.6759	0.9647	1.0044	1.3642	1.0104	1.5378	0.9803	1.3322	1.1918	1.5585	0.429	0.557	0.107	0.268	0.296	0.218	-0.384	-0.276	-1.37	-0.662	-0.726	-0.681	-0.41	-0.305	-0.0505	0.32	-0.334	0.379	-0.15	0.367	0.105	0.357	-0.395	0.612	0.269	0.513	0.42	0.25
GS1_SS_00019_02015	1.9156	1.8945	1.8249	2.5504	2.781	1.2528	0.6802		0.5689	0.573	1.1288		0.6603	0.9888	0.732	0.7256	1.3922		0.7855	1.2095	1.9635	1.2047	0.757	0.282	0.678	0.359	0.544	0.77	0.408	0.178	0.072	-0.398	0.0343	-0.405	-0.136	-0.585	-0.162	-0.999	-0.227	-1.05	-0.175	-0.718	0.128	0.0399	0.993	0.135	-0.0357	0.371	0.593	0.214
GS1_SS_00027_18006	1.3158	1.0338	1.4586	1.0044	1.4373	0.6379	0.775	0.6394	0.8455	0.7403	1.1496	1.0198	1.0098	1.0206	1.0531	0.9226	1.6462	0.9148	1.7273	0.9833	1.2383	1.0961	0.432	0.0682	0.179	0.192	-0.223	-0.00176	-0.677	-0.63	-0.67	-0.545	-0.213	-0.959	-0.163	-0.0805	0.178	0.0259	0.537	0.159	0.367	0.589	0.249	0.203	1.52	0.176	-0.0916	0.136	-0.188	0.0295
GS1_SS_00031_10674	1.1075	1.3349	0.9314	1.1345	0.9698	1.376	0.7115	1.2832	0.5704	1.0739	0.6844	0.8219	0.7456	0.885	1.0993	0.9986	1.0563	1.1164	1.0168	1.2575	1.1704	1.2311	0.0527	0.631	-0.215	0.277	-0.155	0.684	0.215	0.157	-0.403	-0.325	-0.589	-0.476	-0.498	0.134	-0.253	0.491	0.303	0.563	0.313	0.418	0.437	0.19	-0.0546	0.49	-0.00315	0.102	0.0552	0.348
GS1_SS_00033_11874	0.5993		0.8506		0.4252		0.6388	0.899	1.2044	1.2696	1.8417	1.506	2.0885	1.9264	1.9397	1.506	1.3252	1.1642	0.9702	0.7695		0.8801	0.00555	-0.303	-0.422	-0.564	-0.555	-0.433	-0.0798	-1.42	-0.133	-0.574	0.444	0.145	0.996	0.807	1.25	0.859	0.591	0.282	0.176	0.0349	0.215	-0.134	0.0461	-0.0499	0.00971	-0.466	-0.653	-0.471
GS1_SS_00034_11858	1.3898	1.4456	1.6726	1.639	1.7762	2.0189	2.6941	1.5512	2.2974	1.4378	1.9465	1.4114	1.4356	0.8206	1.6462	0.8981	1.0533	1.2442	1.4211	1.0742	0.8046	0.9754	0.0819	-0.206	0.28	0.634	0.59	0.178	0.681	0.694	-0.119	0.553	-0.0673	0.0372	0.0909	-0.142	0.057	-0.444	0.255	-0.545	0.159	-0.312	0.242	-0.275	1.36	-0.0912	0.099	0.169	0.373	0.0596
GS1_SS_00037_14514	1.3854	1.0204	1.5034	1.1009	1.6686	1.1053	1.8543	1.4597	1.2342	0.9251	0.6858	0.5472	0.4723	0.5141	0.7827	0.6436	0.9234	0.6786	0.7706	0.6942	1.0727	0.7541	-0.37	0.134	-0.431	0.167	-0.138	0.502	0.0376	0.393	0.262	0.231	-0.713	-0.784	-1.17	-1.85	-1.44	-1.67	-0.401	-0.457	-0.412	-0.418	-0.138	-0.339	0.011	-0.0391	-0.185	-0.135	0.282	-0.2
GS1_SS_00039_13324	0.5217		0.2414		0.6716	1.6341	0.9968	1.0019	0.751	1.0534	0.9603	1.6512	1.1763	1.9123	1.4557	1.7798	0.9563	2.0842	0.7224	1.3021		1.0083	-0.676	-0.795	-0.81	-1.13	-0.732	-1.1	-0.504	-0.526	-0.597	-0.53	0.269	1.04	0.52	0.89	1.27	1.27	0.453	0.825	0.339	0.449	0.0549	0.184	-1.12	-0.46	-0.166	-0.424	-0.802	-0.717
GS1_SS_00040_10111	0.6744	1.102	0.514	1.2182	0.7446	1.2931	0.7782	1.2098	0.648	1.2093	0.8498	0.9936	1.3846	1.4979	0.835	1.3194	0.9729	1.7604		1.7866	0.8414	1.2508	-0.257	0.0219	-0.384	-0.0568	-0.498	0.0154	0.0898	0.657	-0.118	0.4	0.157	0.49	-0.0467	0.7	0.162	0.686	-0.0181	0.662	-0.505	0.637	-0.102	0.393	-0.997	-0.043	-0.561	-0.136	-0.185	-0.511
