	Time	Replicate	C1	C2
C1_ZTa1_1	0	2	1	0
C1_ZTa1_2	0	2	1	0
C1_ZT00_1	1	2	1	0
C1_ZT00_2	1	2	1	0
C1_ZT02_1	3	2	1	0
C1_ZT02_2	3	2	1	0
C1_ZT04_1	5	2	1	0
C1_ZT04_2	5	2	1	0
C1_ZT07_1	8	2	1	0
C1_ZT07_2	8	2	1	0
C1_ZT09_1	10	2	1	0
C1_ZT09_2	10	2	1	0
C1_ZT11_1	12	2	1	0
C1_ZT11_2	12	2	1	0
C1_ZT13_1	14	2	1	0
C1_ZT13_2	14	2	1	0
C1_ZT15_1	16	2	1	0
C1_ZT15_2	16	2	1	0
C1_ZT17_1	18	2	1	0
C1_ZT17_2	18	2	1	0
C1_ZT20_1	21	1	1	0
C2_ZTa_1	0	2	0	1
C2_ZTa_2	0	2	0	1
C2_ZT00_1	1	2	0	1
C2_ZT00_2	1	2	0	1
C2_ZT02_1	3	2	0	1
C2_ZT02_2	3	2	0	1
C2_ZT04_1	5	2	0	1
C2_ZT04_2	5	2	0	1
C2_ZT07_1	8	2	0	1
C2_ZT07_2	8	2	0	1
C2_ZT09_1	10	2	0	1
C2_ZT09_2	10	2	0	1
C2_ZT11_1	12	2	0	1
C2_ZT11_2	12	2	0	1
C2_ZT13_1	14	2	0	1
C2_ZT13_2	14	2	0	1
C2_ZT15_1	16	2	0	1
C2_ZT15_2	16	2	0	1
C2_ZT17_1	18	2	0	1
C2_ZT17_2	18	2	0	1
C2_ZT20_1	21	2	0	1
C2_ZT20_2	21	2	0	1
C2_ZT22_1	23	2	0	1
C2_ZT22_2	23	2	0	1
C2_ZT24_1	25	2	0	1
C2_ZT24_2	25	2	0	1
