	Time 	Replicate	C1	C2
C1_ZT00_1	0	2	1	0
C1_ZT00_2	0	2	1	0
C1_ZT02_1	2	2	1	0
C1_ZT02_2	2	2	1	0
C1_ZT04_1	4	2	1	0
C1_ZT04_2	4	2	1	0
C1_ZT06_1	6	2	1	0
C1_ZT06_2	6	2	1	0
C1_ZT08_1	8	2	1	0
C1_ZT08_2	8	2	1	0
C1_ZT10_1	10	2	1	0
C1_ZT10_2	10	2	1	0
C1_ZT12_1	12	2	1	0
C1_ZT12_2	12	2	1	0
C1_ZT14_1	14	2	1	0
C1_ZT14_2	14	2	1	0
C1_ZT16_1	16	2	1	0
C1_ZT16_2	16	2	1	0
C1_ZT18_1	18	2	1	0
C1_ZT18_2	18	2	1	0
C1_ZT20_1	20	1	1	0
C1_ZT22_1	22	1	1	0
C2_ZT00_1	0	2	0	1
C2_ZT00_2	0	2	0	1
C2_ZT02_1	2	2	0	1
C2_ZT02_2	2	2	0	1
C2_ZT04_1	4	2	0	1
C2_ZT04_2	4	2	0	1
C2_ZT06_1	6	2	0	1
C2_ZT06_2	6	2	0	1
C2_ZT08_1	8	2	0	1
C2_ZT08_2	8	2	0	1
C2_ZT10_1	10	2	0	1
C2_ZT10_2	10	2	0	1
C2_ZT12_1	12	2	0	1
C2_ZT12_2	12	2	0	1
C2_ZT14_1	14	2	0	1
C2_ZT14_2	14	2	0	1
C2_ZT16_1	16	2	0	1
C2_ZT16_2	16	2	0	1
C2_ZT18_1	18	2	0	1
C2_ZT18_2	18	2	0	1
C2_ZT20_1	20	2	0	1
C2_ZT20_2	20	2	0	1
C2_ZT22_1	22	2	0	1
C2_ZT22_2	22	2	0	1
C2_ZT24_1	24	2	0	1
C2_ZT24_2	24	2	0	1
C2_ZT26_1	26	2	0	1
C2_ZT26_2	26	2	0	1
